Date,Cash,MCT,DBS,STEng,SIA,SIA_Relative
11/7/2014,1,1.037234,14.674504,3.231997,9.076264,1.005774503
14/7/2014,1,1.037234,14.683049,3.223401,9.102322,1.002871005
15/7/2014,1,1.037234,14.674504,3.214805,9.154434,1.005725133
16/7/2014,1,1.037234,14.700143,3.231997,9.128378,0.997153729
17/7/2014,1,1.033466,14.811249,3.214805,9.119692,0.999048462
18/7/2014,1,1.037234,14.896714,3.240592,9.111008,0.999047775
21/7/2014,1,1.04101,14.939447,3.214805,9.163119,1.005719565
22/7/2014,1,1.04101,15.050551,3.214805,9.180491,1.001895861
23/7/2014,1,1.044779,15.306949,3.257784,9.163119,0.998107726
24/7/2014,1,1.048555,15.409511,3.283571,9.206547,1.004739434
25/7/2014,1,1.059868,15.400964,3.300762,9.206547,1
29/7/2014,1,1.063636,15.409511,3.266379,9.206547,1
30/7/2014,1,1.063636,15.452244,3.240592,9.206547,1
31/7/2014,1,1.071133,15.571894,3.266379,8.97204,0.974528235
1/8/2014,1,1.063489,15.648811,3.257784,8.778905,0.97847368
4/8/2014,1,1.055837,15.486429,3.257784,8.752567,0.996999854
5/8/2014,1,1.067311,15.657361,3.274975,8.726231,0.996991054
6/8/2014,1,1.071133,15.700095,3.266379,8.655998,0.991951508
7/8/2014,1,1.071133,15.503524,3.240592,8.612105,0.994929181
8/8/2014,1,1.063489,15.221484,3.240592,8.603326,0.998980621
11/8/2014,1,1.059659,15.349683,3.266379,8.603326,1
12/8/2014,1,1.071133,15.418058,3.266379,8.655998,1.006122283
13/8/2014,1,1.071133,15.43542,3.249188,8.629663,0.996957601
14/8/2014,1,1.078785,15.383331,3.231997,8.568212,0.992879096
15/8/2014,1,1.074963,15.365969,3.231997,8.699894,1.015368667
18/8/2014,1,1.074963,15.392011,3.205932,8.638442,0.992936466
19/8/2014,1,1.074963,15.348606,3.205932,8.673558,1.004065085
20/8/2014,1,1.082615,15.409375,3.179868,8.81402,1.016194277
21/8/2014,1,1.090267,15.461462,3.17118,8.778905,0.996016006
22/8/2014,1,1.097911,15.56564,3.17118,8.822799,1.00499994
25/8/2014,1,1.097911,15.583002,3.197244,8.743789,0.991044792
26/8/2014,1,1.086437,15.478827,3.197244,8.849135,1.012048095
27/8/2014,1,1.097911,15.591682,3.223309,8.857914,1.000992074
28/8/2014,1,1.105563,15.591682,3.205932,8.866693,1.000991091
29/8/2014,1,1.113215,15.556958,3.179868,8.866693,1
1/9/2014,1,1.117044,15.583002,3.179868,8.805242,0.993069457
2/9/2014,1,1.117044,15.56564,3.205932,8.840357,1.003987965
3/9/2014,1,1.124697,15.678494,3.205932,8.884253,1.00496541
4/9/2014,1,1.139993,15.782672,3.205932,8.866693,0.998023469
